event_id,home_team,away_team,commence_time,bookmaker,bookmaker_title,last_update,market,outcome_name,price,point,snapshot_utc
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,sportsbet,SportsBet,2026-05-01T22:53:28Z,h2h,Brisbane Lions,1.06,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,sportsbet,SportsBet,2026-05-01T22:53:28Z,h2h,Essendon Bombers,9.5,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,sportsbet,SportsBet,2026-05-01T22:53:28Z,spreads,Brisbane Lions,1.9,-48.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,sportsbet,SportsBet,2026-05-01T22:53:28Z,spreads,Essendon Bombers,1.9,48.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,sportsbet,SportsBet,2026-05-01T22:53:28Z,totals,Over,1.9,187.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,sportsbet,SportsBet,2026-05-01T22:53:28Z,totals,Under,1.9,187.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,betfair_ex_au,Betfair,2026-05-01T22:53:47Z,h2h,Brisbane Lions,1.09,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,betfair_ex_au,Betfair,2026-05-01T22:53:47Z,h2h,Essendon Bombers,12.0,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,betfair_ex_au,Betfair,2026-05-01T22:53:47Z,h2h_lay,Brisbane Lions,1.1,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,betfair_ex_au,Betfair,2026-05-01T22:53:47Z,h2h_lay,Essendon Bombers,12.5,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,pointsbetau,PointsBet (AU),2026-05-01T22:53:27Z,h2h,Brisbane Lions,1.07,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,pointsbetau,PointsBet (AU),2026-05-01T22:53:27Z,h2h,Essendon Bombers,8.0,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,pointsbetau,PointsBet (AU),2026-05-01T22:53:27Z,spreads,Brisbane Lions,1.88,-46.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,pointsbetau,PointsBet (AU),2026-05-01T22:53:27Z,spreads,Essendon Bombers,1.88,46.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,pointsbetau,PointsBet (AU),2026-05-01T22:53:27Z,totals,Over,1.88,185.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,pointsbetau,PointsBet (AU),2026-05-01T22:53:27Z,totals,Under,1.88,185.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,ladbrokes_au,Ladbrokes,2026-05-01T22:54:02Z,h2h,Brisbane Lions,1.06,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,ladbrokes_au,Ladbrokes,2026-05-01T22:54:02Z,h2h,Essendon Bombers,9.25,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,neds,Neds,2026-05-01T22:53:31Z,h2h,Brisbane Lions,1.06,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,neds,Neds,2026-05-01T22:53:31Z,h2h,Essendon Bombers,9.25,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,betr_au,Betr,2026-05-01T22:53:25Z,h2h,Brisbane Lions,1.07,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,betr_au,Betr,2026-05-01T22:53:25Z,h2h,Essendon Bombers,8.5,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,betr_au,Betr,2026-05-01T22:53:25Z,spreads,Brisbane Lions,1.9,-47.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,betr_au,Betr,2026-05-01T22:53:25Z,spreads,Essendon Bombers,1.9,47.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,betright,Bet Right,2026-05-01T22:53:45Z,h2h,Brisbane Lions,1.05,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,betright,Bet Right,2026-05-01T22:53:45Z,h2h,Essendon Bombers,10.0,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,betright,Bet Right,2026-05-01T22:53:45Z,spreads,Brisbane Lions,1.9,-47.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,betright,Bet Right,2026-05-01T22:53:45Z,spreads,Essendon Bombers,1.9,47.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,tab,TAB,2026-05-01T22:53:48Z,h2h,Brisbane Lions,1.06,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,tab,TAB,2026-05-01T22:53:48Z,h2h,Essendon Bombers,9.0,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,tab,TAB,2026-05-01T22:53:48Z,spreads,Brisbane Lions,1.95,-47.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,tab,TAB,2026-05-01T22:53:48Z,spreads,Essendon Bombers,1.85,47.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,tab,TAB,2026-05-01T22:53:48Z,totals,Over,1.9,187.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,tab,TAB,2026-05-01T22:53:48Z,totals,Under,1.9,187.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,playup,PlayUp,2026-05-01T22:53:25Z,h2h,Brisbane Lions,1.07,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,playup,PlayUp,2026-05-01T22:53:25Z,h2h,Essendon Bombers,8.5,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,playup,PlayUp,2026-05-01T22:53:25Z,spreads,Brisbane Lions,1.95,-47.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,playup,PlayUp,2026-05-01T22:53:25Z,spreads,Essendon Bombers,1.85,47.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,playup,PlayUp,2026-05-01T22:53:25Z,totals,Over,1.88,185.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,playup,PlayUp,2026-05-01T22:53:25Z,totals,Under,1.88,185.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,tabtouch,TABtouch,2026-05-01T22:54:01Z,h2h,Brisbane Lions,1.06,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,tabtouch,TABtouch,2026-05-01T22:54:01Z,h2h,Essendon Bombers,9.0,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,tabtouch,TABtouch,2026-05-01T22:54:01Z,spreads,Brisbane Lions,1.89,-47.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,tabtouch,TABtouch,2026-05-01T22:54:01Z,spreads,Essendon Bombers,1.89,47.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,tabtouch,TABtouch,2026-05-01T22:54:01Z,totals,Over,1.88,185.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,tabtouch,TABtouch,2026-05-01T22:54:01Z,totals,Under,1.91,185.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,unibet,Unibet,2026-05-01T22:53:10Z,h2h,Brisbane Lions,1.06,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,unibet,Unibet,2026-05-01T22:53:10Z,h2h,Essendon Bombers,8.0,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,dabble_au,Dabble AU,2026-05-01T22:53:46Z,h2h,Brisbane Lions,1.07,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,dabble_au,Dabble AU,2026-05-01T22:53:46Z,h2h,Essendon Bombers,8.5,,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,dabble_au,Dabble AU,2026-05-01T22:53:46Z,spreads,Brisbane Lions,1.9,-47.5,20260501_225405_daily
14aaf5d9a17e50953aa6c11d9ae47158,Essendon Bombers,Brisbane Lions,2026-05-02T02:35:43Z,dabble_au,Dabble AU,2026-05-01T22:53:46Z,spreads,Essendon Bombers,1.9,47.5,20260501_225405_daily
