event_id,home_team,away_team,commence_time,bookmaker,bookmaker_title,last_update,market,outcome_name,price,point,snapshot_utc
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,unibet,Unibet,2026-03-08T07:33:28Z,h2h,Collingwood Magpies,2.0,,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,unibet,Unibet,2026-03-08T07:33:28Z,h2h,St Kilda Saints,1.78,,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,pointsbetau,PointsBet (AU),2026-03-08T07:33:21Z,h2h,Collingwood Magpies,2.0,,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,pointsbetau,PointsBet (AU),2026-03-08T07:33:21Z,h2h,St Kilda Saints,1.8,,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,pointsbetau,PointsBet (AU),2026-03-08T07:33:21Z,spreads,Collingwood Magpies,1.9,2.5,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,pointsbetau,PointsBet (AU),2026-03-08T07:33:21Z,spreads,St Kilda Saints,1.9,-2.5,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,pointsbetau,PointsBet (AU),2026-03-08T07:33:21Z,totals,Over,1.9,184.5,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,pointsbetau,PointsBet (AU),2026-03-08T07:33:21Z,totals,Under,1.9,184.5,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,tab,TAB,2026-03-08T07:33:14Z,h2h,Collingwood Magpies,2.1,,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,tab,TAB,2026-03-08T07:33:14Z,h2h,St Kilda Saints,1.77,,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,tab,TAB,2026-03-08T07:33:14Z,spreads,Collingwood Magpies,1.9,3.5,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,tab,TAB,2026-03-08T07:33:14Z,spreads,St Kilda Saints,1.9,-3.5,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,tab,TAB,2026-03-08T07:33:14Z,totals,Over,1.9,183.5,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,tab,TAB,2026-03-08T07:33:14Z,totals,Under,1.9,183.5,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,tabtouch,TABtouch,2026-03-08T07:33:28Z,h2h,Collingwood Magpies,2.02,,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,tabtouch,TABtouch,2026-03-08T07:33:28Z,h2h,St Kilda Saints,1.8,,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,tabtouch,TABtouch,2026-03-08T07:33:28Z,spreads,Collingwood Magpies,1.89,2.5,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,tabtouch,TABtouch,2026-03-08T07:33:28Z,spreads,St Kilda Saints,1.89,-2.5,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,tabtouch,TABtouch,2026-03-08T07:33:28Z,totals,Over,1.89,183.5,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,tabtouch,TABtouch,2026-03-08T07:33:28Z,totals,Under,1.89,183.5,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,neds,Neds,2026-03-08T07:34:04Z,h2h,Collingwood Magpies,2.1,,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,neds,Neds,2026-03-08T07:34:04Z,h2h,St Kilda Saints,1.75,,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,ladbrokes_au,Ladbrokes,2026-03-08T07:33:21Z,h2h,Collingwood Magpies,2.1,,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,ladbrokes_au,Ladbrokes,2026-03-08T07:33:21Z,h2h,St Kilda Saints,1.75,,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,betfair_ex_au,Betfair,2026-03-08T07:33:45Z,h2h,Collingwood Magpies,2.18,,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,betfair_ex_au,Betfair,2026-03-08T07:33:45Z,h2h,St Kilda Saints,1.84,,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,betfair_ex_au,Betfair,2026-03-08T07:33:45Z,h2h_lay,Collingwood Magpies,2.2,,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,betfair_ex_au,Betfair,2026-03-08T07:33:45Z,h2h_lay,St Kilda Saints,1.85,,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,betr_au,Betr,2026-03-08T07:33:57Z,h2h,Collingwood Magpies,2.05,,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,betr_au,Betr,2026-03-08T07:33:57Z,h2h,St Kilda Saints,1.77,,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,betr_au,Betr,2026-03-08T07:33:57Z,spreads,Collingwood Magpies,1.9,3.5,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,betr_au,Betr,2026-03-08T07:33:57Z,spreads,St Kilda Saints,1.9,-3.5,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,playup,PlayUp,2026-03-08T07:34:06Z,h2h,Collingwood Magpies,2.05,,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,playup,PlayUp,2026-03-08T07:34:06Z,h2h,St Kilda Saints,1.8,,20260308_073408
32938c3ed956b5d910a6145275ddd22d,St Kilda Saints,Collingwood Magpies,2026-03-08T08:20:00Z,playup,PlayUp,2026-03-08T07:34:06Z,spreads,Collingwood Magpies,1.9,3.5,20260308_073408
