event_id,home_team,away_team,commence_time,bookmaker,bookmaker_title,last_update,market,outcome_name,price,point,snapshot_utc
ee36229873fb9d7f31db3cb677ebce82,Greater Western Sydney Giants,Hawthorn Hawks,2026-03-07T05:15:00Z,unibet,Unibet,2026-03-07T05:22:20Z,h2h,Greater Western Sydney Giants,2.48,,20260307_052221
ee36229873fb9d7f31db3cb677ebce82,Greater Western Sydney Giants,Hawthorn Hawks,2026-03-07T05:15:00Z,unibet,Unibet,2026-03-07T05:22:20Z,h2h,Hawthorn Hawks,1.54,,20260307_052221
ee36229873fb9d7f31db3cb677ebce82,Greater Western Sydney Giants,Hawthorn Hawks,2026-03-07T05:15:00Z,unibet,Unibet,2026-03-07T05:22:20Z,h2h,Draw,51.0,,20260307_052221
ee36229873fb9d7f31db3cb677ebce82,Greater Western Sydney Giants,Hawthorn Hawks,2026-03-07T05:15:00Z,pointsbetau,PointsBet (AU),2026-03-07T05:22:21Z,h2h,Greater Western Sydney Giants,2.45,,20260307_052221
ee36229873fb9d7f31db3cb677ebce82,Greater Western Sydney Giants,Hawthorn Hawks,2026-03-07T05:15:00Z,pointsbetau,PointsBet (AU),2026-03-07T05:22:21Z,h2h,Hawthorn Hawks,1.53,,20260307_052221
ee36229873fb9d7f31db3cb677ebce82,Greater Western Sydney Giants,Hawthorn Hawks,2026-03-07T05:15:00Z,pointsbetau,PointsBet (AU),2026-03-07T05:22:21Z,spreads,Greater Western Sydney Giants,1.9,12.5,20260307_052221
ee36229873fb9d7f31db3cb677ebce82,Greater Western Sydney Giants,Hawthorn Hawks,2026-03-07T05:15:00Z,pointsbetau,PointsBet (AU),2026-03-07T05:22:21Z,spreads,Hawthorn Hawks,1.9,-12.5,20260307_052221
ee36229873fb9d7f31db3cb677ebce82,Greater Western Sydney Giants,Hawthorn Hawks,2026-03-07T05:15:00Z,pointsbetau,PointsBet (AU),2026-03-07T05:22:21Z,totals,Over,1.9,181.5,20260307_052221
ee36229873fb9d7f31db3cb677ebce82,Greater Western Sydney Giants,Hawthorn Hawks,2026-03-07T05:15:00Z,pointsbetau,PointsBet (AU),2026-03-07T05:22:21Z,totals,Under,1.9,181.5,20260307_052221
ee36229873fb9d7f31db3cb677ebce82,Greater Western Sydney Giants,Hawthorn Hawks,2026-03-07T05:15:00Z,tab,TAB,2026-03-07T05:22:13Z,h2h,Greater Western Sydney Giants,2.5,,20260307_052221
ee36229873fb9d7f31db3cb677ebce82,Greater Western Sydney Giants,Hawthorn Hawks,2026-03-07T05:15:00Z,tab,TAB,2026-03-07T05:22:13Z,h2h,Hawthorn Hawks,1.5,,20260307_052221
ee36229873fb9d7f31db3cb677ebce82,Greater Western Sydney Giants,Hawthorn Hawks,2026-03-07T05:15:00Z,tabtouch,TABtouch,2026-03-07T05:21:49Z,h2h,Greater Western Sydney Giants,2.38,,20260307_052221
ee36229873fb9d7f31db3cb677ebce82,Greater Western Sydney Giants,Hawthorn Hawks,2026-03-07T05:15:00Z,tabtouch,TABtouch,2026-03-07T05:21:49Z,h2h,Hawthorn Hawks,1.51,,20260307_052221
