event_id,home_team,away_team,commence_time,bookmaker,bookmaker_title,last_update,market,outcome_name,price,point,snapshot_utc
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,sportsbet,SportsBet,2026-05-20T23:15:29Z,h2h,Adelaide Crows,2.75,,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,sportsbet,SportsBet,2026-05-20T23:15:29Z,h2h,Hawthorn Hawks,1.46,,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,sportsbet,SportsBet,2026-05-20T23:15:29Z,spreads,Adelaide Crows,1.91,12.5,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,sportsbet,SportsBet,2026-05-20T23:15:29Z,spreads,Hawthorn Hawks,1.89,-12.5,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,sportsbet,SportsBet,2026-05-20T23:15:29Z,totals,Over,1.89,158.5,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,sportsbet,SportsBet,2026-05-20T23:15:29Z,totals,Under,1.91,158.5,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,neds,Neds,2026-05-20T23:16:07Z,h2h,Adelaide Crows,2.7,,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,neds,Neds,2026-05-20T23:16:07Z,h2h,Hawthorn Hawks,1.46,,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,betfair_ex_au,Betfair,2026-05-20T23:16:10Z,h2h,Adelaide Crows,2.78,,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,betfair_ex_au,Betfair,2026-05-20T23:16:10Z,h2h,Hawthorn Hawks,1.55,,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,betfair_ex_au,Betfair,2026-05-20T23:16:10Z,h2h_lay,Adelaide Crows,2.82,,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,betfair_ex_au,Betfair,2026-05-20T23:16:10Z,h2h_lay,Hawthorn Hawks,1.57,,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,betr_au,Betr,2026-05-20T23:16:07Z,h2h,Adelaide Crows,2.6,,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,betr_au,Betr,2026-05-20T23:16:07Z,h2h,Hawthorn Hawks,1.5,,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,betr_au,Betr,2026-05-20T23:16:07Z,spreads,Adelaide Crows,1.9,12.5,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,betr_au,Betr,2026-05-20T23:16:07Z,spreads,Hawthorn Hawks,1.9,-12.5,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,playup,PlayUp,2026-05-20T23:15:46Z,h2h,Adelaide Crows,2.6,,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,playup,PlayUp,2026-05-20T23:15:46Z,h2h,Hawthorn Hawks,1.5,,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,playup,PlayUp,2026-05-20T23:15:46Z,spreads,Adelaide Crows,1.9,12.5,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,playup,PlayUp,2026-05-20T23:15:46Z,spreads,Hawthorn Hawks,1.9,-12.5,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,playup,PlayUp,2026-05-20T23:15:46Z,totals,Over,1.88,157.5,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,playup,PlayUp,2026-05-20T23:15:46Z,totals,Under,1.88,157.5,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,tab,TAB,2026-05-20T23:16:09Z,h2h,Adelaide Crows,2.55,,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,tab,TAB,2026-05-20T23:16:09Z,h2h,Hawthorn Hawks,1.52,,20260520_231616_daily
a429f944e8cebeac5f87cbda8eaeea9d,Hawthorn Hawks,Adelaide Crows,2026-05-21T09:30:43Z,tab,TAB,2026-05-20T23:16:09Z,spreads,Adelaide Crows,1.9,11.5,20260520_231616_daily
